filepath,filesize,checksum
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/usg02_gh_23_24_clean/106-7c_Raeumungsstreifen__2024-03-31__19-50-53(12).JPG,167901.0,b6081fd5a310f91c7e6636dfa3149fb188317e8662ca77139aa9f5c8f22500c6
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/usg02_gh_23_24_clean/106-7c_Raeumungsstreifen__2024-03-31__19-51-15(6).JPG,167601.0,638820593dd15861a83b5fc79feac2e00ceb64480b0379f02939379ef7209fc3
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/usg02_gh_23_24_clean/108-03_Raumungsstreifen-Funk-Bombodrom__2023-04-14__16-58-32(5).JPG,323885.0,8283fd950cb52404ca67ef1cda4c86961bb9fe6fe921045b006812b628f4d09a
