filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-33(20).JPG,229508.0,51e296c702a4ab47306e74d0cc5f4251e12c5a2f01846cf542cae831de31b0f0,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-40(21).JPG,227693.0,75c3e859c39d6a28c82a5ce045c6769ff3694d88d823cf14a8cef09e05bd5c9d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-41(22).JPG,228776.0,e0992d00d93fa256a42e3bee78f81d5c44904782efddc7429011dce1e6c9a14c,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-41(23).JPG,228884.0,f2125738da85c4660cb69794116546f3a14385b32d7dfe48460c35f14b422245,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-42(24).JPG,229121.0,7707ebf3a0bd30c2e0c6acb5b4fa02f22330bfd6e4c126bc065fc224afb4c91d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-43(25).JPG,228756.0,650d0de3559cb7aede22ecbdba9c660698dcd23dc0aea1cff4d4fe0112735d24,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-57(26).JPG,239229.0,cba557c2289a0fb1293de43ea57f3e4e07ca7830089bac0005cfba201bd78ee5,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-57(27).JPG,240929.0,4d99217016dbeb93662a0fa9e0e549614a450cf42d6e80b8de56e76945475319,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-58(28).JPG,240840.0,ba328e36ba2a1bb5d624910bfcbdb715bc496e051b58e4b996bdea7f21d365ee,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-59(29).JPG,241143.0,8b2bd93ca35dd138b877c7251598ab9119e63973cdb94bbfc9e89baa62e314cd,wolf
